Categoria,Porcentagem
Open Source,0.23
Mobile,0.23
Java,0.23
Software Engineering,0.23
Internet,0.23
Web Development,0.23
Miscellaneous,0.23
Microsoft .NET,0.23
Microsoft,0.23
Next Generation Databases,0.23
PowerBuilder,0.23
Client-Server,0.23
Computer Graphics,0.23
Object-Oriented Programming,0.23
S,0.23
Networking,0.23
Theory,0.23
Programming,0.23
Python,0.23
Mobile Technology,0.23
Business,0.23
P,0.23
XML,0.23
Perl,0.23
java,0.23
Microsoft/.NET,0.23
Miscella,0.23
Object-Technology Programming,0.23
,0.23
internet,0.23
.NET,0.23
Algorithmic Art,0.23
PHP,0.23
SOA,0.23
Computer Graph,0.23
Client Server,0.23
In Action,0.23
Software Development,0.23
